�..district,DISTRICT,DemShare2018,GOPShare208,Other2018,Reporting2018,GOP2party2018,Uncontested2018,GOPcandidate,GOPvotes2016,TotalVotes2016,candidate.D,DemVotes2016,Uncontested2016,gop2party2016
CA29,Calif. 29,0.79,0.21,—,1,0.21,0,NA,0,0,Tony C√É¬™√Ç¬çrdenas,128407,1,0
CA3,Calif. 3,0.57,0.43,—,1,0.43,0,N. Eugene Cleek,104453,256966,John Garamendi,152513,0,0.406485683
CA30,Calif. 30,0.71,0.29,—,1,0.29,0,Mark Reed,77325,282604,Brad Sherman,205279,0,0.273616085
CA31,Calif. 31,0.56,0.44,—,1,0.44,0,Paul Chabot,94866,215936,Pete Aguilar,121070,0,0.439324615
CA32,Calif. 32,0.67,0.33,—,1,0.33,0,NA,0,0,Grace F. Napolitano,114926,1,0
CA33,Calif. 33,0.68,0.32,—,1,0.32,0,Kenneth W. Wright,110822,330219,Ted Lieu,219397,0,0.335601525
CA34,Calif. 34,0.74,—,0.26,1,0,1,NA,0,0,Adrienne Nicole Edwards,36314,1,0
CA35,Calif. 35,0.68,0.32,—,1,0.32,0,Tyler Fischella,47309,171353,Norma J. Torres,124044,0,0.276090877
CA36,Calif. 36,0.56,0.44,—,1,0.44,0,Jeff Stone,88269,232617,Raul Ruiz,144348,0,0.379460659
CA37,Calif. 37,0.88,0.12,—,1,0.12,0,NA,0,0,Karen Bass,192490,1,0
CA38,Calif. 38,0.67,0.33,—,1,0.33,0,Ryan Downing,68524,232114,Linda T. S√É¬™√Ç¬çnchez,163590,0,0.295217005
CA39,Calif. 39,0.49,0.51,—,1,0.51,0,Edward R. Royce,150777,263456,Brett Murdock,112679,0,0.572304294
CA4,Calif. 4,0.45,0.55,—,1,0.55,0,Tom McClintock,220133,350978,Robert W. Derlet,130845,0,0.627198856
CA40,Calif. 40,0.78,—,0.22,1,0,1,NA,0,0,Lucille Roybal-Allard,106554,1,0
CA41,Calif. 41,0.6,0.4,—,1,0.4,0,Doug Shepherd,69159,197323,Mark Takano,128164,0,0.350486259
CA42,Calif. 42,0.41,0.59,—,1,0.59,0,Ken Calvert,149547,254236,Tim Sheridan,104689,0,0.58822118
CA43,Calif. 43,0.76,0.24,—,1,0.24,0,Omar Navarro,52499,219516,Maxine Waters,167017,0,0.239157966
CA44,Calif. 44,0.69,—,—,1,0,1,NA,0,0,Nanette Diaz Barrag√É¬™√Ç¬çn,93124,1,0
CA45,Calif. 45,0.48,0.52,—,1,0.52,0,Mimi Walters,182618,311849,Ron Varasteh,129231,0,0.585597517
CA46,Calif. 46,0.64,0.37,—,1,0.366336634,0,NA,0,0,Bao Nguyen,49345,1,0
CA47,Calif. 47,0.62,0.38,—,1,0.38,0,Andy Whallon,88109,242868,Alan S. Lowenthal,154759,0,0.362785546
CA48,Calif. 48,0.51,0.49,—,1,0.49,0,Dana Rohrabacher,178701,306416,Suzanne Savary,127715,0,0.583197353
CA49,Calif. 49,0.54,0.47,—,1,0.465346535,0,Darrell E. Issa,155888,310155,Doug Applegate,154267,0,0.50261321
CA5,Calif. 5,0.78,—,0.22,1,0,1,Carlos Santamaria,67565,292091,Mike Thompson,224526,0,0.231314898
CA50,Calif. 50,0.46,0.54,—,1,0.54,0,Duncan Hunter,179937,283583,Patrick Malloy,103646,0,0.634512647
CA51,Calif. 51,0.68,0.32,—,1,0.32,0,"Juan M. Hidalgo, Jr.",54362,199524,Juan Vargas,145162,0,0.272458451
CA52,Calif. 52,0.61,0.39,—,1,0.39,0,Denise Gitsham,139403,320656,Scott H. Peters,181253,0,0.434743152
CA53,Calif. 53,0.66,0.34,—,1,0.34,0,James Veltmeyer,97968,296956,Susan A. Davis,198988,0,0.329907461
CA6,Calif. 6,0.8,—,—,1,0,1,"Robert ""Bob"" Evans",57848,235413,Doris O. Matsui,177565,0,0.245729845
CA7,Calif. 7,0.53,0.47,—,1,0.47,0,Scott R. Jones,145168,297301,Ami Bera,152133,0,0.488286282
CA8,Calif. 8,—,0.6,—,1,1,1,Paul Cook,136972,220007,Rita Ramirez,83035,0,0.622580191
CA9,Calif. 9,0.54,0.46,—,1,0.46,0,"Antonio C. ""Tony"" Amador",98992,232155,Jerry McNerney,133163,0,0.426404773
CO1,Colo. 1,0.72,0.26,0.03,0.73,0.265306122,0,"Charles ""Casper"" Stockham",105030,379036,Diana DeGette,257254,0,0.289910678
CO2,Colo. 2,0.6,0.34,0.04,0.98,0.361702128,0,Nicholas Morse,170001,457312,Jared Polis,260175,0,0.395189411
CO3,Colo. 3,0.43,0.52,0.03,0.99,0.547368421,0,Scott R. Tipton,204220,374037,Gail Schwartz,150914,0,0.575050544
CO4,Colo. 4,0.39,0.62,—,0.95,0.613861386,0,Ken Buck,248230,390633,Bob Seay,123642,0,0.667514629
CO5,Colo. 5,0.38,0.59,0.03,0.79,0.608247423,0,Doug Lamborn,225445,361993,Misty Plowright,111676,0,0.668736151
CO6,Colo. 6,0.54,0.44,0.02,0.98,0.448979592,0,Mike Coffman,191626,376417,Morgan Carroll,160372,0,0.544395139
CO7,Colo. 7,0.6,0.36,0.04,1,0.375,0,George Athanasopoulos,144066,362010,Ed Perlmutter,199758,0,0.419010889
CT1,Conn. 1,0.64,0.35,0.01,1,0.353535354,0,Mathhew M. Corey,105674,312925,John B. Larson,187021,0,0.361037941
CT2,Conn. 2,0.62,0.36,0.01,1,0.367346939,0,Daria Novak,111149,330257,Joe Courtney,186210,0,0.37378724
CT3,Conn. 3,0.64,0.36,—,1,0.36,0,Angel Cadena,95786,309379,Rosa L. DeLauro,192274,0,0.332521003
CT4,Conn. 4,0.61,0.39,—,1,0.39,0,John Shaban,120653,313540,James A. Himes,187811,0,0.391141268
CT5,Conn. 5,0.56,0.44,—,1,0.44,0,Clay Cope,124900,309082,Elizabeth H. Etsy,163499,0,0.433080559
DE,Del.,0.65,0.36,—,1,0.356435644,0,Hans Reigle,172301,420617,Lisa Blunt Rochester,233554,0,0.42453832
FL1,Fla. 1,0.33,0.67,—,1,0.67,0,Matt Gaetz,255107,369186,Steven Specht,114079,0,0.690998575
FL10,Fla. 10,Unc.,—,—,0,0,1,Thuy Lowe,107498,305989,Val Demings,198491,0,0.351313283
FL11,Fla. 11,0.35,0.65,—,1,0.65,0,Daniel Webster,258016,394719,Dave Koller,124713,0,0.674148026
FL12,Fla. 12,0.4,0.58,0.02,1,0.591836735,0,Gus M. Bilirakis,253559,369669,Robert Matthew Tager,116110,0,0.685908204
FL13,Fla. 13,0.58,0.42,—,1,0.42,0,David W Jolly,171149,355842,Charlie Crist,184693,0,0.480969082
FL14,Fla. 14,Unc.,—,—,0,0,1,Christine Quinn,121088,316877,Kathy Castor,195789,0,0.382129344
FL15,Fla. 15,0.47,0.53,—,1,0.53,0,Dennis A. Ross,182999,318474,Jim Lange,135475,0,0.574612056
FL16,Fla. 16,0.45,0.55,—,1,0.55,0,Vern Buchanan,230654,385916,Jan Schneider,155262,0,0.597679288
FL17,Fla. 17,0.38,0.62,—,1,0.62,0,Thomas J. Rooney,209348,338675,April Freeman,115974,0,0.643510122
FL18,Fla. 18,0.46,0.54,—,1,0.54,0,Brian Mast,201488,375918,Randy Perkins,161918,0,0.55444324
FL19,Fla. 19,0.38,0.62,—,1,0.62,0,Francis Rooney,239225,363166,Robert M. Neeld,123812,0,0.658954872
FL2,Fla. 2,0.33,0.68,—,1,0.673267327,0,Neal Dunn,231163,343362,Walter Dartland,102801,0,0.692179397
FL20,Fla. 20,Unc.,—,—,0,0,1,Gary Stein,54646,277560,Alcee L. Hastings,222914,0,0.196879954
FL21,Fla. 21,Unc.,—,—,0,0,1,Paul Spain,118038,335861,Lois Frankel,210606,0,0.359166758
FL22,Fla. 22,0.62,0.38,—,1,0.38,0,Andrea Leigh McGee,138737,337850,Theodore E. Deutch,199113,0,0.410646737
FL23,Fla. 23,0.59,0.36,0.05,1,0.378947368,0,"Joseph ""Joe"" Kaufman",130818,323120,Debbie Wasserman Schultz,183225,0,0.416560789
FL24,Fla. 24,Unc.,—,—,0,0,1,NA,0,0,Frederica S. Wilson,1,1,0
FL25,Fla. 25,0.4,0.61,—,1,0.603960396,0,Mario Diaz-Balart,157921,253240,Alina Valdes,95319,0,0.623602117
FL26,Fla. 26,0.51,0.49,—,1,0.49,0,Carlos Curbelo,148547,280542,Joe Garcia,115493,0,0.562592789
FL27,Fla. 27,0.52,0.46,0.03,1,0.469387755,0,Ileana Ros-Lehtinen,157917,287677,Scott Fuhrman,129760,0,0.548938567
FL3,Fla. 3,0.42,0.58,—,1,0.58,0,Ted S. Yoho,193843,342700,"Kenneth ""Ken"" McGurn",136338,0,0.587081025
FL4,Fla. 4,0.32,0.65,0.02,1,0.670103093,0,John Rutherford,287509,409662,David E. Bruderly,113088,0,0.717701331
FL5,Fla. 5,0.67,0.33,—,1,0.33,0,Glo Smith,108325,302874,Al Lawson,194549,0,0.357656979
FL6,Fla. 6,0.44,0.56,—,1,0.56,0,Ron DeSantis,213519,364570,"William ""Bill"" McCullough",151051,0,0.585673533
FL7,Fla. 7,0.58,0.42,—,1,0.42,0,John L. Mica,171583,353655,Stephanie Murphy,182039,0,0.485215852
FL8,Fla. 8,0.4,0.61,—,1,0.603960396,0,Bill Posey,246483,390561,Corry Westbrook,127127,0,0.659733412
FL9,Fla. 9,0.58,0.42,—,1,0.42,0,Wayne Liebnitzky,144450,339761,Darren Soto,195311,0,0.425151798
GA1,Ga. 1,0.42,0.58,—,1,0.58,0,"Earl L. ""Buddy"" Carter",210243,211112,NA,0,1,1
GA10,Ga. 10,0.37,0.63,—,1,0.63,0,Jody B. Hice,243725,244821,NA,0,1,1
GA11,Ga. 11,0.38,0.62,—,1,0.62,0,Barry Loudermilk,217935,323318,Don Wilson,105383,0,0.674057739
GA12,Ga. 12,0.41,0.6,—,1,0.594059406,0,Rick W. Allen,159492,258912,Patricia C. McCracken,99420,0,0.616008528
GA13,Ga. 13,0.76,0.24,—,1,0.24,0,NA,0,0,David Scott,252833,1,0
GA14,Ga. 14,0.24,0.77,—,1,0.762376238,0,Tom Graves,216743,216743,NA,0,1,1
GA2,Ga. 2,0.6,0.4,—,1,0.4,0,Greg Duke,94056,242599,"Sanford D. Bishop, Jr.",148543,0,0.387701516
GA3,Ga. 3,0.34,0.66,—,1,0.66,0,Drew Ferguson,207218,303187,Angela Pendley,95969,0,0.68346598
GA4,Ga. 4,0.79,0.21,—,1,0.21,0,Victor Armendariz,70593,290739,"Henry C. ""Hank"" Johnson, Jr.",220146,0,0.242805403
GA5,Ga. 5,Unc.,—,—,0,0,1,Douglas Bell,46768,300549,John Lewis,253781,0,0.15560857
GA6,Ga. 6,0.51,0.5,—,1,0.495049505,0,Tom Price,201088,326005,Rodney Stooksbury,124917,0,0.616824895
GA7,Ga. 7,0.5,0.5,—,1,0.5,0,Rob Woodall,174081,288301,Rashid Malik,114220,0,0.603816844
GA8,Ga. 8,—,Unc.,—,0,1,1,Austin Scott,173983,257208,James Neal Harris,83225,0,0.676429193
GA9,Ga. 9,0.21,0.8,—,1,0.792079208,0,Doug Collins,256535,256535,NA,0,1,1
HI1,Hawaii 1,0.73,0.23,0.02,1,0.239583333,0,"Shirlene D. ""Shirl"" Ostrov",45958,213531,Colleen Wakako Hanabusa,145417,0,0.24014631
HI2,Hawaii 2,0.77,0.23,—,1,0.23,0,Angela Aulani Kaaihue,39668,224133,Tulsi Gabbard,170848,0,0.188432233
IA1,Iowa 1,0.51,0.46,0.03,1,0.474226804,0,Rod Blum,206903,384977,Monica Vernon,177403,0,0.538380874
IA2,Iowa 2,0.55,0.43,0.02,1,0.43877551,0,Christopher Peters,170933,370032,David Loebsack,198571,0,0.462601217
IA3,Iowa 3,0.49,0.48,0.02,1,0.494845361,0,David Young,208598,390287,Jim Mowrer,155002,0,0.57370187
IA4,Iowa 4,0.47,0.5,0.02,1,0.515463918,0,Steve King,226719,370259,Kim Weaver,142993,0,0.61323138
ID1,Idaho 1,0.3,0.63,0.02,1,0.677419355,0,Ra√É¬™_l R. Labrador,242252,355357,James Piotrowski,113052,0,0.681816135
ID2,Idaho 2,0.39,0.61,—,1,0.61,0,Michael K. Simpson,205292,326237,Jennifer Martinez,95940,0,0.681507941
IL1,Ill. 1,0.73,0.2,0.07,0.99,0.215053763,0,"August ""O'Neill"" Deuser",81817,315862,Bobby L. Rush,234037,0,0.259034237
IL10,Ill. 10,0.65,0.35,—,1,0.35,0,Robert J. Dold,135535,285996,Brad Schneider,150435,0,0.473948316
IL11,Ill. 11,0.64,0.36,—,1,0.36,0,Tonia Khouri,108995,275573,Bill Foster,166578,0,0.395521332
IL12,Ill. 12,0.45,0.52,0.03,1,0.536082474,0,Mike Bost,169976,313002,"Charles ""C. J."" Baricevic",124246,0,0.577713427
IL13,Ill. 13,0.5,0.51,—,1,0.504950495,0,Rodney Davis,187583,314394,Mark D. Wicklund,126811,0,0.596649427
IL14,Ill. 14,0.52,0.48,—,1,0.48,0,Randy Hultgren,200508,338097,Jim Walz,137589,0,0.59304874
IL15,Ill. 15,0.29,0.71,—,1,0.71,0,John Shimkus,274554,274554,NA,0,1,1
IL16,Ill. 16,0.4,0.6,—,1,0.6,0,Adam Kinzinger,259722,259853,NA,0,1,1
IL17,Ill. 17,0.62,0.38,—,1,0.38,0,Patrick Harlan,113943,287068,Cheri Bustos,173125,0,0.396919894
IL18,Ill. 18,0.33,0.67,—,1,0.67,0,Darin LaHood,250506,347283,Junius Rodriguez,96770,0,0.721345558
IL2,Ill. 2,0.81,0.19,—,1,0.19,0,John F. Morrow,59471,294522,Robin L. Kelly,235051,0,0.201923795
IL3,Ill. 3,0.74,0.27,—,1,0.267326733,0,NA,0,0,Daniel Lipinski,225320,1,0
IL4,Ill. 4,0.9,0.1,—,0.78,0.1,0,NA,0,0,Luis V. Guti√É¬™√Ç¬©rrez,171297,1,0
IL5,Ill. 5,0.78,0.22,—,0.86,0.22,0,Vince Kolber,86222,313724,Mike Quigley,212842,0,0.288306182
IL6,Ill. 6,0.53,0.47,—,0.99,0.47,0,Peter J. Roskam,208555,352146,Amanda Howland,143591,0,0.59224015
IL7,Ill. 7,0.88,0.12,—,0.8,0.12,0,Jeffrey A. Leef,46882,297466,Danny K. Davis,250584,0,0.157604567
IL8,Ill. 8,0.66,0.34,—,1,0.34,0,"Peter ""Pete"" DiCianni",103617,248571,Raja Krishnamoorthi,144954,0,0.416850719
IL9,Ill. 9,0.85,0.16,—,0.39,0.158415842,0,Joan McCarthy Lasonde,109550,326948,Janice D. Schakowsky,217306,0,0.335162885
IN1,Ind. 1,0.67,0.33,—,0.82,0.33,0,NA,0,0,Peter J. Visclosky,207515,1,0
IN2,Ind. 2,0.45,0.55,—,0.95,0.55,0,Jackie Walorski,164355,277357,Lynn C. Coleman,102401,0,0.616124848
IN3,Ind. 3,0.35,0.65,—,0.98,0.65,0,Jim Banks,201396,287247,Tommy A. Schrader,66023,0,0.753110288
IN4,Ind. 4,0.36,0.64,—,0.95,0.64,0,Todd Rokita,193412,299434,John Dale,91256,0,0.679430073
IN5,Ind. 5,0.43,0.57,—,0.99,0.57,0,Susan W. Brooks,221957,361135,Angela Demaree,123849,0,0.641854103
IN6,Ind. 6,0.33,0.64,0.03,0.96,0.659793814,0,Luke Messer,204920,296385,Barry Welsh,79135,0,0.721409586
IN7,Ind. 7,0.64,0.36,—,1,0.36,0,"Catherine ""CAT"" Ping",94456,264670,Andr_ Carson,158739,0,0.37305634
IN8,Ind. 8,0.36,0.64,—,0.99,0.64,0,Larry Bucshon,187702,294713,Ron Drake,93356,0,0.667840802
IN9,Ind. 9,0.41,0.59,—,0.87,0.59,0,Trey Hollingsworth,174791,322843,Shelli Yoder,130627,0,0.572300912
KS1,Kan. 1,0.32,0.68,—,1,0.68,0,Roger Marshall,169992,257971,Alan LaPolice,67739,0,0.715060299
KS2,Kan. 2,0.46,0.48,0.06,1,0.510638298,0,Lynn Jenkins,181228,297401,Britani Potter,96840,0,0.651739862
KS3,Kan. 3,0.53,0.44,0.03,1,0.453608247,0,Kevin Yoder,176022,343113,Jay Sidie,139300,0,0.558229366
KS4,Kan. 4,0.4,0.6,—,1,0.6,0,Mike Pompeo,166998,275251,Daniel B. Giroux,81495,0,0.672043076
KY1,Ky. 1,0.31,0.69,—,1,0.69,0,James R. Comer,216959,299001,Samuel L. Gaskins,81710,0,0.726419548
KY2,Ky. 2,0.31,0.67,0.02,1,0.683673469,0,Brett Guthrie,251825,251825,NA,0,1,1
KY3,Ky. 3,0.62,0.37,0.01,1,0.373737374,0,Harold Bratcher,122093,334494,John A. Yarmuth,212401,0,0.365008042
KY4,Ky. 4,0.35,0.62,0.03,1,0.639175258,0,Thomas Massie,233922,327987,Calvin Sidle,94065,0,0.713205097
KY5,Ky. 5,0.21,0.79,—,1,0.79,0,Harold Rogers,221242,221242,NA,0,1,1
KY6,Ky. 6,0.48,0.51,0.01,1,0.515151515,0,Andy Barr,202099,330827,Nancy Jo Kemper,128728,0,0.610890284
LA1,La. 1,0.16,0.72,0.01,1,0.818181818,0,Steve Scalise,243645,326788,Lee Ann Dugas,41840,0,0.853442388
LA2,La. 2,0.81,—,0.09,1,0,1,NA,0,0,Cedric L. Richmond,198289,1,0
LA3,La. 3,0.18,0.56,0.01,1,0.756756757,0,"""Gus"" Rantz",25662,282443,Larry Rader,27830,0,0.479735288
LA4,La. 4,0.34,0.64,0.02,1,0.653061224,0,"Ralph ""Trey"" Baucum",50412,268761,Marshall Jones,46579,0,0.519759565
LA5,La. 5,0.3,0.67,0.02,1,0.690721649,0,Ralph Lee Abraham,208545,255662,NA,0,1,1
LA6,La. 6,0.21,0.7,0.02,1,0.769230769,0,Robert Lamar _√É¬£√Ç¬ñBob_√É¬£√Ç¬ù Bell,33592,331098,Jermaine Sampson,29822,0,0.529725297
MA1,Mass. 1,Unc.,—,—,0,0,1,NA,0,0,Richard E. Neal,235803,1,0
MA2,Mass. 2,0.67,0.33,—,1,0.33,0,NA,0,0,James P. McGovern,275487,1,0
MA3,Mass. 3,0.62,0.34,0.05,1,0.354166667,0,Ann Wofford,107519,360124,Niki Tsongas,236713,0,0.312344582
MA4,Mass. 4,Unc.,—,—,0,0,1,David A. Rosa,113055,395304,Joseph P. Kennedy III,265823,0,0.298394206
MA5,Mass. 5,0.76,0.24,—,1,0.24,0,NA,0,0,Katherine M. Clark,285606,1,0
MA6,Mass. 6,0.65,0.31,0.03,1,0.322916667,0,NA,0,0,Seth Moulton,308923,1,0
MA7,Mass. 7,Unc.,—,—,0,0,1,NA,0,0,Michael E. Capuano,253354,1,0
MA8,Mass. 8,Unc.,—,—,0,0,1,William Burke,102744,396009,Stephen F. Lynch,271019,0,0.274890773
MA9,Mass. 9,0.59,0.41,—,1,0.41,0,Mark C. Alliegro,127803,403642,William R. Keating,211790,0,0.37634168
MD1,Md. 1,0.38,0.61,0.02,1,0.616161616,0,Andy Harris,242574,362097,Joe Werner,103622,0,0.700684006
MD2,Md. 2,0.66,0.31,0.02,0.99,0.319587629,0,Pat McDonough,102577,309480,C. A. Dutch Ruppersberger,192183,0,0.348001764
MD3,Md. 3,0.69,0.29,0.03,0.99,0.295918367,0,Mark Plaster,115048,339675,Ann Dalrymple,63,0,0.999452702
MD4,Md. 4,0.78,0.2,0.02,1,0.204081633,0,George E. McDermott,68670,320650,Anthony G. Brown,237501,0,0.224286428
MD5,Md. 5,0.7,0.27,0.01,1,0.278350515,0,Mark Arness,105931,360634,Steny H. Hoyer,242989,0,0.303596813
MD6,Md. 6,0.58,0.39,0.02,1,0.402061856,0,Amie Hoeber,133081,331973,John K. Delaney,185770,0,0.417376768
MD7,Md. 7,0.76,0.22,0.02,0.99,0.224489796,0,William T. Newton,202,318912,Elijah E. Cummings,238838,0,0.000845047
MD8,Md. 8,0.67,0.32,0.02,1,0.323232323,0,Dan Cox,124651,364324,Jamie Raskin,220657,0,0.360984976
ME1,Me. 1,0.59,0.32,0.09,0.99,0.351648352,0,Mark I. Holbrook,164569,406942,Chellie Pingree,227546,0,0.419695753
ME2,Me. 2,0.46,0.46,0.06,0.95,0.5,0,Bruce Poliquin,192878,364886,Emily Ann Cain,159081,0,0.548012695
MI1,Mich. 1,0.44,0.56,—,1,0.56,0,Jack Bergman,197777,360271,Lon Johnson,144334,0,0.57810769
MI10,Mich. 10,0.35,0.6,0.04,1,0.631578947,0,Paul Mitchell,215132,340983,"Frank Accavitti, Jr.",110112,0,0.661448021
MI11,Mich. 11,0.52,0.45,0.02,1,0.463917526,0,David A. Trott,200872,379488,Anil Kumar,152461,0,0.568506197
MI12,Mich. 12,0.68,0.29,0.02,1,0.298969072,0,Jeff Jones,96104,328542,Debbie Dingell,211378,0,0.312551629
MI13,Mich. 13,0.85,—,0.11,1,0,1,Jeff Gorman,40541,257797,"John Conyers, Jr.",198771,0,0.169406465
MI14,Mich. 14,0.81,0.17,0.02,1,0.173469388,0,Howard Klausner,58103,310974,Brenda L. Lawrence,244135,0,0.192242537
MI2,Mich. 2,0.43,0.55,0.02,1,0.56122449,0,Bill Huizenga,212508,339328,Dennis B. Murphy,110391,0,0.658125296
MI3,Mich. 3,0.43,0.55,0.02,1,0.56122449,0,Justin Amash,203545,342365,Douglas Smith,128400,0,0.613188932
MI4,Mich. 4,0.37,0.63,—,1,0.63,0,John R. Moolenaar,194572,315751,Debra Wirth,101277,0,0.65767334
MI5,Mich. 5,0.6,0.36,0.05,1,0.375,0,Al Hardwick,112102,319291,Daniel T. Kildee,195279,0,0.364700486
MI6,Mich. 6,0.46,0.5,0.04,1,0.520833333,0,Fred Upton,193259,329565,Paul Clements,119980,0,0.61696979
MI7,Mich. 7,0.46,0.54,—,1,0.54,0,Tim Walberg,184321,334807,Gretchen D. Driskell,134010,0,0.579023092
MI8,Mich. 8,0.51,0.47,0.02,1,0.479591837,0,Mike Bishop,205629,366968,Suzanna Shkreli,143791,0,0.588486635
MI9,Mich. 9,0.6,0.37,0.02,1,0.381443299,0,Christopher R. Morse,128937,344775,Sander M. Levin,199661,0,0.392385224
MN1,Minn. 1,0.5,0.5,—,1,0.5,0,Jim Hagedorn,166524,335873,Timothy J. Walz,169071,0,0.496205247
MN2,Minn. 2,0.53,0.47,—,1,0.47,0,Jason Lewis,173970,370515,NA,0,1,1
